m,f_re,f_im,f_R_hz,tau_s,Q,abs_res
-14.83599999999999,9.807064424682071,-0.12223753235283064,9.807064424682071,1.3020137107521528,40.11478404347456,7.785228687832109e-15
-14.83649999999999,9.80718944853503,-0.12222948790323578,9.80718944853503,1.302099401888127,40.117935601182396,6.445272572083738e-15
-14.83699999999999,9.807314471516337,-0.12222144358288435,9.807314471516337,1.30218510292725,40.12108752776069,8.795496234218198e-15
-14.837499999999991,9.807439493619281,-0.12221339935856718,9.807439493619281,1.3022708142250734,40.12423983414785,1.0560112026483785e-14
-14.837999999999992,9.807564514845808,-0.12220535523921418,9.807564514845808,1.3023565356882534,40.127392517487166,1.2443539932062048e-14
-14.838499999999993,9.80768953519411,-0.12219731121552703,9.80768953519411,1.3024422674176834,40.1305455808912,5.421936431859633e-15
-14.838999999999993,9.807814554670157,-0.12218926731603713,9.807814554670157,1.3025280091110467,40.13369901508076,1.342635627393543e-14
-14.839499999999994,9.80793957326261,-0.12218122348502124,9.80793957326261,1.3026137613641335,40.136852838378275,1.6622600819525912e-14
-14.839999999999982,9.808064590986667,-0.12217317979594915,9.808064590986667,1.3026995233954972,40.14000702677901,1.2576920825403051e-14
-14.839999999999995,9.808064590989526,-0.12217317980983741,9.808064590989526,1.3026995232474103,40.140007022227714,1.9812504575273385e-14
-14.840499999999995,9.808189607833171,-0.12216513620368069,9.808189607833171,1.3027852956881507,40.14316159513954,8.126840123743213e-15
-14.840999999999996,9.80831462379764,-0.12215709268594846,9.80831462379764,1.3028710784814108,40.14631655082716,1.489944531174773e-14
-14.841499999999996,9.808439638891828,-0.12214904929938676,9.808439638891828,1.3029568711730806,40.149471875345455,4.1213057840373734e-15
-14.841999999999997,9.808564653111066,-0.12214100602077443,9.808564653111066,1.30304267401257,40.15262757637173,1.0081045149458743e-14
-14.842499999999998,9.808689666453335,-0.12213296283973635,9.808689666453335,1.303128487112357,40.155783657374954,7.355384643495589e-15
-14.842999999999998,9.808814678916008,-0.12212491974302161,9.808814678916008,1.303214310615665,40.15894012276924,1.6382092209071374e-14
-14.843499999999999,9.808939690506554,-0.12211687676641074,9.808939690506554,1.3033001441425027,40.162096960887,6.653932544407802e-15
-14.844,9.8090647012221,-0.12210883389540604,9.8090647012221,1.3033859878493448,40.16525417654953,1.1177608301970899e-14
-14.8445,9.809189711058288,-0.12210079110832343,9.809189711058288,1.303471841969466,40.16841177693897,6.313890172061934e-15
-14.845,9.809314720023195,-0.12209274844387227,9.809314720023195,1.3035577060914563,40.17156974942158,8.253259372701657e-15
-14.845500000000001,9.809439728112723,-0.12208470588161416,9.809439728112723,1.3036435804352782,40.1747281007703,7.625058288637365e-15
-14.846000000000002,9.80956473532828,-0.12207666342789474,9.80956473532828,1.3037294649349678,40.17788682896938,8.411542303580273e-15
-14.846500000000002,9.809689741671583,-0.12206862109049138,9.809689741671583,1.303815359509233,40.18104593153185,1.1587479136846635e-14
-14.847000000000003,9.809814747131647,-0.122060578815601,9.809814747131647,1.303901264734566,40.184205426190466,4.572178254219406e-15
-14.847500000000004,9.809939751723409,-0.12205253667518548,9.809939751723409,1.3039871798441134,40.18736528938472,1.0925406890420803e-14
-14.848000000000004,9.810064755435826,-0.12204449461513604,9.810064755435826,1.3040731054177093,40.19052553895035,6.772587951110447e-15
-14.848500000000005,9.810189758279774,-0.12203645268769049,9.810189758279774,1.304159040899006,40.19368615779711,1.0434324648588605e-14
-14.849000000000006,9.810314760248048,-0.12202841085737615,9.810314760248048,1.304244986668816,40.19684715764309,4.4367268087626334e-15
-14.849500000000006,9.810439761339026,-0.12202036911583819,9.810439761339026,1.3043309428182766,40.20000854130196,6.75322301446426e-15
-14.849999999999982,9.810564761557783,-0.12201232748716864,9.810564761557783,1.3044169090916882,40.20317030092515,1.5259913497390425e-14
-14.850000000000007,9.810564761560583,-0.12201232750069609,9.810564761560583,1.304416908947068,40.203170296479314,4.0064286501198265e-15
-14.850500000000007,9.810689760902266,-0.12200428596079782,9.810689760902266,1.3045028856038279,40.20633244005304,1.0269562977782698e-14
-14.851000000000008,9.810814759372866,-0.1219962445382168,9.810814759372866,1.3045888723405592,40.20949495826287,1.523070615373935e-14
-14.851500000000009,9.810939756971777,-0.1219882032294951,9.810939756971777,1.3046748691959897,40.21265785231118,6.864779284377786e-15
-14.85200000000001,9.8110647536908,-0.12198016199442392,9.8110647536908,1.304760876601974,40.21582113548633,8.78410253195682e-15
-14.85250000000001,9.811189749542095,-0.12197212089131744,9.811189749542095,1.3048468939366025,40.21898478868093,1.5750402670301197e-14
-14.85300000000001,9.811314744517746,-0.12196407988138007,9.811314744517746,1.3049329216166463,40.22214882471972,2.0082458459915766e-14
-14.853500000000011,9.811439738625449,-0.12195603900130876,9.811439738625449,1.3050189592512706,40.2253132315988,1.0386520604941984e-14
