m,f_re,f_im,f_R_hz,tau_s,Q,abs_res,omega_R,omega_I_abs,omegaR_over_abs_omegaI,Q_from_f_tau,damping_ratio,inverse_damping_ratio,Q_consistency_error,Q_consistency_relative_error,fR_relative_to_start,tau_relative_to_start,Q_relative_to_start,spectral_ratio_relative_to_start
-14.659999999999986,9.763000765544165,-0.1250756624878877,9.763000765544165,1.2724693191795633,39.02837918803592,1.0438458340849583e-14,61.342742964050146,0.7858735648296491,78.05675837607184,39.02837918803592,0.012811190482470102,78.05675837607184,0.0,0.0,1.0173275891587847,1.0860491476911365,1.104867761128577,1.1048677611285769
-14.669999999999986,9.765507375254092,-0.1249140563390209,9.765507375254092,1.2741155619824198,39.088905049845536,9.110765053448276e-15,61.3584924573504,0.7848581634495395,78.17781009969107,39.088905049845536,0.012791353438076818,78.17781009969107,0.0,0.0,1.0175887837724493,1.0874542115036674,1.106581208492245,1.1065812084922448
-14.679999999999986,9.768013619900684,-0.1247524924516496,9.768013619900684,1.275765637737291,39.14957299825685,6.3255925038362375e-15,61.37423965689006,0.783843027606237,78.29914599651369,39.14957299825684,0.012771531378446012,78.29914599651369,-7.105427357601002e-15,-1.8149437690973982e-16,1.0178499403456576,1.0888625467304522,1.1082986782342121,1.1082986782342117
-14.689999999999984,9.770519500348144,-0.124590970753434,9.770519500348144,1.277419560417934,39.21038355052245,4.125789526923561e-15,61.38998456809909,0.7828281568452181,78.42076710104489,39.210383550522444,0.012751724281292778,78.42076710104489,-7.105427357601002e-15,-1.8121290112976533e-16,1.0181110589684617,1.0902741652980554,1.1100201849975595,1.110020184997559
-14.699999999999983,9.7730250174732,-0.1244294912442026,9.7730250174732,1.2790773433248332,39.27133720370546,1.767182481642117e-14,61.40572719648613,0.7818135511654052,78.54267440741094,39.27133720370547,0.012731932131733528,78.54267440741094,1.4210854715202004e-14,3.618632755357547e-16,1.0183721397322187,1.0916890785584048,1.111745742853817,1.1117457428538173
-14.709999999999985,9.775530172132864,-0.1242680538273863,9.775530172132864,1.2807390008132615,39.332434487593645,1.5553031891404225e-15,61.421467547435945,0.7807992099600356,78.66486897518728,39.33243448759364,0.012712154905074883,78.66486897518728,-7.105427357601002e-15,-1.8065058647316166e-16,1.0186331827262314,1.0931072987636872,1.1134753668009287,1.1134753668009283
-14.719999999999985,9.778034965196609,-0.124106658477956,9.778034965196609,1.2824045465712428,39.393675911971286,3.420135685938544e-15,61.43720562641159,0.7797851330718484,78.78735182394257,39.39367591197128,0.01269239258395929,78.78735182394257,-7.105427357601002e-15,-1.8036974699895278e-16,1.0188941880411009,1.0945288375965938,1.115209071270552,1.1152090712705518
-14.729999999999984,9.78053939752853,-0.1239453051494293,9.78053939752853,1.2840739945737918,39.4550619958418,6.8519741543802015e-15,61.452941438842345,0.7787713202087849,78.91012399168359,39.455061995841795,0.01267264514887077,78.91012399168359,-7.105427357601002e-15,-1.8008911906791195e-16,1.0191551557668679,1.0959537069847627,1.1169468709553325,1.116946870955332
-14.739999999999984,9.783043469989648,-0.1237839937860223,9.783043469989648,1.2857473589599686,39.51659326366941,1.0422061570319431e-14,61.468674990138155,0.7777577710203445,79.03318652733881,39.51659326366941,0.012652912579376821,79.03318652733881,0.0,0.0,1.0194160859932526,1.0973819189958434,1.1186887807025077,1.1186887807025074
-14.749999999999984,9.785547183450724,-0.123622724388025,9.785547183450724,1.287424653353718,39.578270224558416,1.0099979000294611e-14,61.48440628577017,0.7767444855083504,79.15654044911682,39.57827022455841,0.012633194860793812,79.15654044911682,-7.105427357601002e-15,-1.795284967555774e-16,1.0196769788109905,1.0988134852578364,1.120434814924486,1.1204348149244856
-14.759999999999984,9.788050538760936,-0.1234614968521622,9.788050538760936,1.2891058925235117,39.640093423140414,7.2164496600635185e-16,61.50013533107395,0.7757314630239045,79.28018684628084,39.64009342314042,0.01261349196791041,79.28018684628084,7.105427357601002e-15,1.7924850180734229e-16,1.019937834308568,1.1002484183755925,1.1221849890394295,1.1221849890394295
-14.769999999999984,9.790553536783875,-0.1233003111551201,9.790553536783875,1.2907910904755755,39.70206338111628,5.375130756895088e-15,61.51586213147558,0.7747187034205223,79.40412676223252,39.70206338111626,0.01259380388369986,79.40412676223252,-2.1316282072803006e-14,-5.369061519090162e-16,1.0201986525759734,1.1016867303033882,1.1239393178163473,1.1239393178163464
-14.779999999999983,9.793056178385887,-0.1231391672932326,9.793056178385887,1.292480261076461,39.764180616332965,1.55130577703719e-14,61.53158669241848,0.7737062066751684,79.52836123266593,39.764180616332965,0.01257413059316573,79.52836123266593,0.0,0.0,1.0204594337034818,1.1031284328762874,1.1256978159151458,1.1256978159151456
-14.789999999999983,9.795558464418706,-0.1229780651956749,9.795558464418706,1.2941734189642526,39.82644567074882,7.947987303456223e-15,61.54730901925424,0.7726939723428378,79.65289134149765,39.826445670748825,0.012554472074499811,79.65289134149765,7.105427357601002e-15,1.7840977867677755e-16,1.0207201777798458,1.1045735385878563,1.12746049867831,1.12746049867831
-14.799999999999985,9.798060395735323,-0.1228170048045507,9.798060395735323,1.2958705787132028,39.88885908481412,1.0206959624866795e-14,61.56302911734238,0.7716820000597577,79.77771816962822,39.888859084814115,0.012534828307244127,79.77771816962822,-7.105427357601002e-15,-1.781306239542477e-16,1.0209808848939492,1.1060220598771802,1.1292273814056324,1.1292273814056317
