m,f_re,f_im,abs_res,success,sigma_min_1e-4,sigma_min_1e-5,sigma_min_1e-6,jac_reliable
-14.75150000000001,9.605050521749027,-0.30313644460026806,8.688869536365455e-14,True,122.10745984448252,123.55301521608997,123.69871119135729,True
-14.752000000000011,9.605186511696122,-0.30313306721741895,5.716907481869143e-14,True,122.11169598198912,123.55725089717137,123.70294683225366,True
-14.752500000000012,9.605322500756154,-0.30312969016630903,9.59813328662617e-15,True,122.1159323509431,123.56148680212087,123.70718267231766,True
-14.753000000000013,9.605458488927916,-0.3031263134605225,8.300326582745387e-14,True,122.12016896813209,123.56572293496245,123.71141871411703,True
-14.753500000000013,9.605594476211209,-0.30312293710366406,4.374282239302868e-14,True,122.12440584044535,123.56995931565432,123.71565510236483,True
-14.754000000000014,9.605730462608175,-0.30311956107647287,1.8580238255935937e-13,True,122.12864294035538,123.57419587372915,123.71989162455492,True
-14.754500000000014,9.605866448118999,-0.3031161853788849,1.5071158204727223e-13,True,122.13288026917229,123.57843267466588,123.7241280039818,True
-14.755000000000015,9.60600243273948,-0.303112810053781,6.876543985371887e-14,True,122.13711788235045,123.58266977563073,123.72836537346068,True
-14.755500000000016,9.606138416477021,-0.3031094350302275,1.131614254073831e-14,True,122.14135568844381,123.58690702485814,123.73260248481934,True
-14.756000000000016,9.606274399328926,-0.3031060603364504,6.85466802560037e-14,True,122.14559372292561,123.59114448380271,123.73683981896508,True
-14.756500000000017,9.606410381291738,-0.30310268600804796,1.3779693757018863e-13,True,122.14983203420915,123.59538220076924,123.74107728418831,True
-14.757000000000017,9.606546362368778,-0.3030993120141446,1.0316051116599378e-13,True,122.15407057942095,123.5996201715559,123.74531533683161,True
-14.757500000000018,9.60668234255887,-0.30309593836801385,4.121500180668884e-14,True,122.15830937871078,123.60385836671621,123.7495538218691,True
-14.758000000000019,9.606818321867133,-0.3030925650211322,5.734868827995279e-15,True,122.16254836615535,123.60809672428756,123.75379183388789,True
-14.75850000000002,9.60695430028468,-0.3030891920623987,4.097408330861265e-14,True,122.16678765856753,123.61233537753003,123.75803031888626,True
-14.75900000000002,9.607090277817674,-0.30308581943309637,7.376510932194413e-14,True,122.17102718037376,123.61657427637026,123.76226936375565,True
-14.75950000000002,9.6072262544674,-0.30308244712229787,6.941815950766031e-14,True,122.17526691765963,123.62081331814846,123.76650812023381,True
-14.760000000000021,9.607362230229153,-0.30307907517787164,3.415158632288207e-14,True,122.17950693195172,123.62505265299694,123.77074741336783,True
-14.760500000000022,9.60749820510945,-0.30307570353768193,1.2144368298069407e-13,True,122.18374714235922,123.62929217801226,123.77498685659519,True
-14.761000000000022,9.60763417910228,-0.30307233226228925,8.649624694932612e-14,True,122.18798762811126,123.63353195878832,123.77922653892958,True
-14.761500000000023,9.607770152210168,-0.30306896132870514,4.841069702264993e-14,True,122.19222835829437,123.63777196676149,123.7834664032864,True
-14.762000000000024,9.607906124433581,-0.30306559073406064,4.170897496614544e-14,True,122.19646933074519,123.64201220518693,123.78770659281975,True
-14.762500000000024,9.608042095776929,-0.3030622204368046,9.64260534579182e-14,True,122.20071049129656,123.64625261385045,123.7919469083815,True
-14.763000000000025,9.60817806623145,-0.3030588505245874,3.0801849300325677e-14,True,122.20495195267341,123.65049328648531,123.79618750967636,True
-14.763500000000025,9.608314035805032,-0.30305548092176104,6.80502925351885e-14,True,122.20919361853333,123.65473420087294,123.8004283412634,True
-14.764000000000026,9.60845000449129,-0.30305211169263785,4.9909464525675855e-14,True,122.21343556912846,123.65897535370078,123.80466935642643,True
-14.764500000000027,9.608585972296332,-0.30304874277908034,5.2094073055627714e-14,True,122.21767773431058,123.66321672066763,123.80891071017993,True
-14.765000000000027,9.60872193921962,-0.3030453741880559,2.925644381055332e-14,True,122.22192011787486,123.66745828903464,123.81315208360347,True
-14.765500000000028,9.608857905258722,-0.3030420059451178,6.869706820634208e-14,True,122.22616275624932,123.67170009514449,123.81739383221256,True
-14.766000000000028,9.608993870412807,-0.3030386380600795,1.882758304518581e-13,True,122.2304056614763,123.67594215250463,123.82163583203581,True
-14.766500000000029,9.60912983468659,-0.3030352704885354,6.333326092624815e-14,True,122.23464877514145,123.68018439636921,123.82587788963987,True
-14.76700000000003,9.609265798074318,-0.3030319032884973,1.1210927434685696e-13,True,122.2388921730193,123.68442692982818,123.83012037721699,True
-14.76750000000003,9.609401760583472,-0.30302853638836763,1.1607381722456012e-13,True,122.2431357634869,123.68866963319168,123.83436295361032,True
-14.76800000000003,9.609537722206538,-0.3030251698635505,1.5293182378232698e-13,True,122.24737964225922,123.6929126260201,123.83860603721436,True
-14.768500000000031,9.609673682950103,-0.3030218036511654,5.3970572261278836e-14,True,122.25162372982925,123.69715577669086,123.84284881066968,True
-14.769000000000032,9.60980964280837,-0.3030184378097065,1.2104976287528046e-13,True,122.2558681009522,123.70139921845352,123.84709224504576,True
-14.769500000000033,9.609945601792523,-0.30301507223135576,1.6049098498468936e-13,True,122.26011261553434,123.70564277866679,123.85133563365832,True
-14.770000000000033,9.610081559887874,-0.3030117070617107,2.5691784812737617e-14,True,122.26435746421195,123.70988667351118,123.85557965684607,True
-14.770500000000034,9.610217517104077,-0.30300834220786765,4.647859057097995e-14,True,122.26860252524716,123.71413073666228,123.85982315370687,True
-14.771000000000035,9.610353473441325,-0.3030049776697019,9.58408707121453e-14,True,122.27284779803128,123.71837504662277,123.86406759425566,True
-14.771500000000035,9.610489428892706,-0.3030016135166098,2.0686756153681435e-13,True,122.27709337376929,123.7226195992444,123.86831181635236,True
-14.772000000000036,9.610625383465626,-0.30299824967773237,6.194831208449854e-14,True,122.28133915915538,123.7268644009892,123.87255669519939,True
-14.772500000000036,9.610761337159623,-0.3029948861593079,1.1555523166356914e-13,True,122.285585164129,17.370750291098965,123.87680156064674,True
-14.773000000000037,9.610761337159623,-0.3029948861593079,0.017125607576599144,True,126.31095423650535,127.82417354447236,127.97670559190496,True
